Header,VarLen,Speed,Start angle,MP1 distance,MP1 intensity,MP2 distance,MP2 intensity,MP3 distance,MP3 intensity,MP4 distance,MP4 intensity,MP5 distance,MP5 intensity,MP6 distance,MP6 intensity,MP7 distance,MP7 intensity,MP8 distance,MP8 intensity,MP9 distance,MP9 intensity,MP10 distance,MP10 intensity,MP11 distance,MP11 intensity,MP12 distance,MP12 intensity,End angle,Timestamps,Crc check,,Converted angles
84,44,3602,3420,335,63,335,63,328,63,331,63,326,63,337,63,336,63,335,63,342,63,338,63,336,63,321,63,4159,10530,63,,34.2
84,44,3602,4159,63,63,63,63,63,63,63,63,63,63,63,63,108,63,118,63,123,63,63,63,63,63,63,63,5203,10533,77,,41.59
84,44,3602,6233,74,63,81,63,64,63,66,63,67,63,67,63,67,63,77,63,92,63,110,63,119,63,123,63,6975,10538,63,,62.33
84,44,3602,7182,125,63,126,63,127,63,127,63,127,63,127,63,107,63,97,63,102,63,105,63,106,63,127,63,8054,10541,63,,71.82
84,44,3602,7999,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,9013,10543,122,,79.99
84,44,3602,9023,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,9791,10546,63,,90.23
84,44,3602,10045,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,120,63,104,63,96,63,92,63,10815,10549,124,,100.45
84,44,3602,10815,80,63,74,63,81,63,84,63,96,63,92,63,90,63,89,63,88,63,78,63,73,63,70,63,11887,10551,107,,108.15
84,44,3602,11839,69,63,58,63,63,63,65,63,56,63,52,63,50,63,39,63,33,63,30,63,19,63,23,63,12843,10554,123,,118.39
84,44,3602,12926,15,63,21,63,24,63,26,63,37,63,32,63,30,63,29,63,28,63,28,63,28,63,28,63,13631,10557,63,,129.26
84,44,3602,13877,28,63,38,63,43,63,45,63,46,63,57,63,62,63,75,63,71,63,79,63,83,63,95,63,14655,10559,11,,138.77
84,44,3602,14873,101,63,104,63,106,63,107,63,127,63,127,63,117,63,122,63,115,63,111,63,99,63,93,63,15739,10562,4,,148.73
84,44,3602,15679,80,63,74,63,71,63,69,63,68,63,58,63,53,63,60,63,54,63,61,63,54,63,61,63,16694,10565,63,,156.79
84,44,3602,16703,64,63,56,63,62,63,75,63,81,63,84,63,116,63,122,63,63,63,63,63,63,63,63,63,17471,10567,122,,167.03
84,44,3602,17736,63,63,63,63,122,63,115,63,111,63,99,63,83,63,85,63,96,63,122,63,63,63,63,63,18495,10570,124,,177.36
84,44,3602,18689,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,121,63,63,63,63,63,19557,10573,63,,186.89
84,44,3602,19519,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,20491,10575,63,,195.19
84,44,3602,20570,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,21311,10578,63,,205.7
84,44,3602,21525,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,22380,10580,63,,215.25
84,44,3602,22335,63,63,307,63,314,63,317,63,312,63,323,63,329,63,339,63,344,63,346,63,340,63,317,63,23297,10583,83,,223.35
84,44,3602,23376,312,63,323,63,322,63,321,63,314,63,304,63,299,63,296,63,288,63,270,63,268,63,267,63,24127,10586,63,,233.76
84,44,3602,24327,259,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,25182,10588,63,,243.27
84,44,3602,25151,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,26160,10591,127,,251.51
84,44,3602,26239,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,26943,10594,13,,262.39
84,44,3602,27190,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,28013,10596,77,,271.9
84,44,3602,27967,63,63,63,63,63,63,63,63,349,63,349,63,363,63,370,63,319,63,319,63,319,63,3135,63,28967,10599,91,,279.67
84,44,3602,29047,3135,63,3194,63,3194,63,3179,63,3179,63,3179,63,3179,63,3163,63,3163,63,3163,63,3163,63,3164,63,29759,10602,49,,290.47
84,44,3602,30024,3164,63,3164,63,3164,63,3164,63,3164,63,3179,63,3179,63,3195,63,3195,63,3195,63,3179,63,2900,63,30783,10604,63,,300.24
84,44,3602,30991,2853,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,31863,10607,40,,309.91
84,44,3602,31807,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,16174,10609,63,,318.07
84,44,3591,16253,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,16191,10612,63,,162.53
84,44,3591,16164,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,16191,10615,16,,161.64
84,44,3591,16239,269,63,267,63,273,63,283,63,295,63,301,63,304,63,312,63,323,63,329,63,339,63,351,63,564,10620,26,,162.39
84,44,3591,627,357,63,367,63,319,63,319,63,319,63,319,63,319,63,319,63,319,63,542,63,589,63,589,63,1343,10623,97,,6.27
84,44,3591,1575,573,63,589,63,589,63,573,63,573,63,319,63,319,63,527,63,558,63,573,63,573,63,527,63,2367,10559,63,,15.75
84,44,3591,2367,319,63,319,63,319,63,319,63,319,63,319,63,335,63,335,63,335,63,335,63,335,63,342,63,3395,10559,63,,23.67
84,44,3591,3391,331,63,347,63,341,63,338,63,329,63,332,63,326,63,337,63,336,63,335,63,335,63,63,63,4159,10559,102,,33.91
84,44,3591,4410,63,63,63,63,63,63,63,63,63,63,111,63,119,63,123,63,115,63,121,63,124,63,63,63,5183,10559,63,,44.1
84,44,3591,5183,63,63,63,63,63,63,63,63,63,63,120,63,94,63,81,63,84,63,76,63,72,63,60,63,6204,10559,63,,51.83
84,44,3591,6207,64,63,66,63,67,63,77,63,72,63,70,63,79,63,93,63,110,63,119,63,113,63,110,63,6975,10559,39,,62.07
84,44,3591,7216,119,63,123,63,115,63,121,63,124,63,106,63,97,63,112,63,110,63,109,63,108,63,63,63,7999,10559,63,,72.16
84,44,3591,7999,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,9050,10559,75,,79.99
84,44,3591,9023,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,10019,10559,120,,90.23
84,44,3591,10094,63,63,63,63,63,63,63,63,63,63,63,63,63,63,121,63,114,63,111,63,109,63,98,63,10815,10559,127,,100.94
84,44,3591,11042,83,63,85,63,76,63,92,63,90,63,89,63,88,63,88,63,78,63,83,63,85,63,86,63,11839,10559,89,,110.42
84,44,3591,11839,77,63,72,63,70,63,69,63,58,63,53,63,40,63,44,63,36,63,22,63,35,63,21,63,12863,10559,75,,118.39
84,44,3591,12863,24,63,26,63,27,63,37,63,32,63,30,63,29,63,18,63,23,63,25,63,36,63,42,63,13877,10559,63,,128.63
84,44,3591,13887,45,63,46,63,47,63,47,63,57,63,62,63,65,63,66,63,77,63,82,63,95,63,101,63,14655,10559,58,,138.87
84,44,3591,14888,104,63,106,63,107,63,117,63,63,63,63,63,63,63,63,63,118,63,103,63,95,63,91,63,15679,10559,63,,148.88
84,44,3591,15679,99,63,83,63,65,63,56,63,62,63,65,63,66,63,67,63,57,63,62,63,55,63,61,63,16740,10559,63,,156.79
84,44,3591,16703,64,63,66,63,77,63,102,63,105,63,116,63,122,63,125,63,63,63,63,63,63,63,63,63,17705,10559,63,,167.03
84,44,3591,17784,63,63,63,63,120,63,104,63,96,63,92,63,90,63,89,63,108,63,63,63,63,63,63,63,18495,10559,63,,177.84
84,44,3591,18721,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,19519,10559,88,,187.21
84,44,3591,19519,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,20526,10559,31,,195.19
84,44,3591,20601,63,63,63,63,63,63,63,63,127,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,21311,10559,84,,206.01
84,44,3591,21553,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,22335,10559,63,,215.53
84,44,3591,22335,63,63,321,63,321,63,321,63,328,63,324,63,329,63,346,63,347,63,348,63,328,63,318,63,23328,10559,63,,223.35
84,44,3591,23407,319,63,320,63,320,63,320,63,314,63,311,63,295,63,280,63,280,63,273,63,269,63,260,63,24127,10559,82,,234.07
84,44,3591,24352,256,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,25213,10559,123,,243.52
84,44,3591,25151,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,26181,10559,63,,251.51
